seed,y,variant,quantity,mean,ci_low,ci_high,p_le_zero
2028,surprise_print,BASE,syn_skill,-0.2961671955843427,-1.0016295330626155,0.08384851442398507,0.9346
2026,surprise_print,TOOL,r_fwt,0.2787662952510762,-0.2067059982038944,0.6973188562204986,0.098
2026,surprise_print,TOOL,skill_fwt,-0.00996654655038551,-0.5148223484813146,0.3898261342993802,0.4776
2026,surprise_print,TOOL,syn_corr,0.30590758493033393,-0.25728796723916947,1.0094591227324496,0.2414
2026,surprise_print,TOOL,syn_skill,0.24211019518063745,-0.27207800868781307,1.2047363087799343,0.293
2027,surprise_print,TOOL,r_fwt,0.18338868203094097,-0.23653800259894325,0.5581757225139863,0.1356
2027,surprise_print,TOOL,skill_fwt,-0.09131857581431785,-0.5685688550296082,0.22094413853880424,0.6692
2027,surprise_print,TOOL,syn_corr,-0.16181162382269762,-0.6754025064742412,0.19276750178885751,0.7438
2027,surprise_print,TOOL,syn_skill,-0.35607037524225743,-1.2474234795960948,0.19890713295046067,0.8808
2028,surprise_print,TOOL,r_fwt,0.04972884516563216,-0.5190165667381264,0.53767398265349,0.385
2028,surprise_print,TOOL,skill_fwt,-0.21153915058137598,-0.822446200835125,0.153728942187041,0.8828
2028,surprise_print,TOOL,syn_corr,-0.19041087682463148,-0.7202939017769179,0.2027041589810373,0.7182
2028,surprise_print,TOOL,syn_skill,-0.43969312459761706,-1.6084326089465433,0.11924548290730227,0.8566
