seed,y,variant,quantity,mean,ci_low,ci_high,p_le_zero
2026,surprise_early,BASE,skill_fwt,0.35837976017122347,-0.20017990430765306,0.8090786960545564,0.1214
2026,surprise_early,BASE,syn_corr,-0.12971554090278847,-0.6374661965860133,0.21063826610663608,0.696
2026,surprise_early,BASE,syn_skill,-0.08384013456471968,-0.3377230894311648,0.1335187004203168,0.7082
2027,surprise_early,BASE,r_fwt,0.5642281661582963,0.007082451363540178,0.8774800542804956,0.0244
2027,surprise_early,BASE,skill_fwt,0.2618991289917096,-0.2936884682551846,0.6787506407822077,0.1862
2027,surprise_early,BASE,syn_corr,0.03510977305478412,-0.12345817175598398,0.302479382920287,0.3976
2027,surprise_early,BASE,syn_skill,0.07442184651510618,-0.07095436475754824,0.24198271913812758,0.127
2028,surprise_early,BASE,r_fwt,0.6290751686046936,0.12055009471725066,0.9097076513541936,0.0128
2028,surprise_early,BASE,skill_fwt,0.32182014108678875,-0.23262751218820618,0.74026536364155,0.1342
2028,surprise_early,BASE,syn_corr,-0.1387314415148261,-0.6257961675961773,0.4258226719338025,0.7098
2028,surprise_early,BASE,syn_skill,-0.144259505110949,-0.5379284719120769,0.2692456194516374,0.7476
2026,surprise_early,TOOL,r_fwt,0.6158695129809663,0.1795828654050766,0.8828790209032195,0.0076
2026,surprise_early,TOOL,skill_fwt,0.3113595357665099,-0.1960737642953083,0.712576513408174,0.1302
2026,surprise_early,TOOL,syn_corr,-0.11159748113814735,-0.46002578153056023,0.2380762464459443,0.7724
2026,surprise_early,TOOL,syn_skill,-0.09267848266949227,-0.3335429596172082,0.11721468202208014,0.7722
2027,surprise_early,TOOL,r_fwt,0.6109899365590055,0.07058397899652653,0.904870512418824,0.0168
2027,surprise_early,TOOL,skill_fwt,0.32609099487132404,-0.24227701461373188,0.7464468600269373,0.1296
2027,surprise_early,TOOL,syn_corr,0.003748847756549443,-0.18192116695993815,0.19480304468532586,0.4802
2027,surprise_early,TOOL,syn_skill,0.04426185905695321,-0.18300726432192732,0.24606892520415316,0.2566
2028,surprise_early,TOOL,r_fwt,0.5808748103807093,0.07153503800635379,0.8556888908185131,0.017
2028,surprise_early,TOOL,skill_fwt,0.25667049171314155,-0.2523439483944537,0.6219043997972201,0.151
2028,surprise_early,TOOL,syn_corr,-0.30284591841375097,-0.8392375344102861,0.18813211393106943,0.796
2028,surprise_early,TOOL,syn_skill,-0.35127168445376533,-0.9258193260661867,0.12649570528658155,0.8862
2026,surprise_print,BASE,r_fwt,0.14139426594767143,-0.3050443705051323,0.45086659430246584,0.19
2026,surprise_print,BASE,skill_fwt,-0.1399078598198876,-0.5990083203042583,0.1133317053662399,0.8076
2026,surprise_print,BASE,syn_corr,0.1523018382116184,-0.1729468791432696,0.4949910950629439,0.1948
2026,surprise_print,BASE,syn_skill,-0.012746735183636147,-0.3169085222556832,0.1642872719247419,0.4806
2027,surprise_print,BASE,r_fwt,0.05171206201178447,-0.4581980260456046,0.47253077125513804,0.382
2027,surprise_print,BASE,skill_fwt,-0.25509589780741276,-0.8617306123374248,0.11104528402891291,0.9184
2027,surprise_print,BASE,syn_corr,0.014561651949594691,-0.3490136937153482,0.33459249593532714,0.448
2027,surprise_print,BASE,syn_skill,-0.07947688520870533,-0.509694854848506,0.22503475083366248,0.6526
2028,surprise_print,BASE,r_fwt,0.17916108824432353,-0.26192991364497253,0.499722415465339,0.1388
2028,surprise_print,BASE,skill_fwt,-0.09865303699556843,-0.5107804952483006,0.17779147327812125,0.7298
2028,surprise_print,BASE,syn_corr,-0.0860117813557948,-0.3565314189717641,0.1797997065005365,0.7376
2028,surprise_print,BASE,syn_skill,-0.22162095060552064,-0.7664317486128107,0.10814461217292765,0.902
2026,surprise_print,TOOL,r_fwt,0.3480339766777504,-0.007882250466310805,0.6962029045168029,0.0266
2026,surprise_print,TOOL,skill_fwt,0.02074178107317336,-0.41259941107923165,0.39429717339606407,0.4264
2026,surprise_print,TOOL,syn_corr,0.34427299809251033,-0.20321829380505255,1.0042798661434793,0.16
2026,surprise_print,TOOL,syn_skill,0.3210264673573954,-0.1510753972422295,1.206761798307367,0.164
2027,surprise_print,TOOL,r_fwt,0.18398527518789073,-0.14826767580474648,0.4752611606090462,0.0984
2027,surprise_print,TOOL,skill_fwt,-0.11934678918313076,-0.5757227357979882,0.14759465139030686,0.7628
2027,surprise_print,TOOL,syn_corr,-0.14766264646104132,-0.5712042940026478,0.15514638442750775,0.7738
2027,surprise_print,TOOL,syn_skill,-0.24919050525901507,-0.9824367075829377,0.31903489141526564,0.8208
2028,surprise_print,TOOL,r_fwt,0.0847193390110325,-0.3705176485523737,0.4588735470436627,0.3002
2028,surprise_print,TOOL,skill_fwt,-0.23916829007388454,-0.8039423609236246,0.07136404584054194,0.9344
2028,surprise_print,TOOL,syn_corr,-0.05774792016210263,-0.5858232896064751,0.3783300694470663,0.5672
2028,surprise_print,TOOL,syn_skill,-0.32308794396622126,-1.2833414307617195,0.13593037909542222,0.7802
