sample,bootstrap_id,model,label,fvu,mae
full_21,62,fin+x,H+X,0.035190242313993404,2.7478498889169187
full_21,62,fin+text,H+Z,0.09480889886156679,3.7518623299483225
full_21,62,fin+x+text,H+X+Z,0.09209371987932159,3.65768543524403
full_21,63,fin,H,0.10893326027812883,5.445121881232725
full_21,63,fin+x,H+X,0.04709202423302237,3.407978823357791
full_21,63,fin+text,H+Z,0.09361507022593787,3.6808894842965207
full_21,63,fin+x+text,H+X+Z,0.09653458684780522,3.84383768846211
full_21,64,fin,H,0.13342202339470435,4.664870059151195
full_21,64,fin+x,H+X,0.04326589247711685,2.992126885455143
full_21,64,fin+text,H+Z,0.08174586728824108,3.6826133358234716
full_21,64,fin+x+text,H+X+Z,0.07032418591353949,3.089990955676063
full_21,65,fin,H,0.5169954548158617,6.245902206921338
full_21,65,fin+x,H+X,0.27508237735534985,4.7173530201492415
full_21,65,fin+text,H+Z,0.39684581021353466,5.062791725161887
full_21,65,fin+x+text,H+X+Z,0.3352031680509819,4.450997981292209
full_21,66,fin,H,0.20985896023196754,9.078373726629893
full_21,66,fin+x,H+X,0.041886908528833776,3.697113564566017
full_21,66,fin+text,H+Z,0.09829877313309385,5.734925724712571
full_21,66,fin+x+text,H+X+Z,0.08543885366811989,4.7714413667312705
full_21,67,fin,H,0.11798712667085122,5.080960553992327
full_21,67,fin+x,H+X,0.028206743784102414,2.3666849840805977
full_21,67,fin+text,H+Z,0.04731778767249852,2.617040117445548
full_21,67,fin+x+text,H+X+Z,0.04780285832066865,2.5691414485704764
full_21,68,fin,H,0.21099393119793478,7.8215761343894865
full_21,68,fin+x,H+X,0.04829614142803535,3.932336644128531
full_21,68,fin+text,H+Z,0.06347858598879198,4.043888588868621
full_21,68,fin+x+text,H+X+Z,0.0520334555016868,3.3252423526582326
full_21,69,fin,H,0.23698725646579472,5.854604419956824
full_21,69,fin+x,H+X,0.061238260284232765,3.2220000789837475
full_21,69,fin+text,H+Z,0.0986046547873403,3.593506833957508
full_21,69,fin+x+text,H+X+Z,0.09423437201870392,3.529932451858497
full_21,70,fin,H,0.21087760298948416,5.946045537754254
full_21,70,fin+x,H+X,0.05629796481366339,3.0737474551329935
full_21,70,fin+text,H+Z,0.05986411013172318,2.9635391358910397
full_21,70,fin+x+text,H+X+Z,0.05776285594059835,3.173654140102523
full_21,71,fin,H,0.11034336085339692,4.9141326069732125
full_21,71,fin+x,H+X,0.0816741926913471,3.919324939103703
full_21,71,fin+text,H+Z,0.12933715384635455,4.229766593188201
full_21,71,fin+x+text,H+X+Z,0.11767500863685346,4.05907373871716
full_21,72,fin,H,0.23323586190420564,7.497656958190243
full_21,72,fin+x,H+X,0.05975300521576953,3.9018158278913737
full_21,72,fin+text,H+Z,0.13795897958266526,5.422951661961149
full_21,72,fin+x+text,H+X+Z,0.12372209652768644,4.733745462044068
full_21,73,fin,H,0.1730260978911479,6.341654773127184
full_21,73,fin+x,H+X,0.045274973141141386,3.4132628904016324
full_21,73,fin+text,H+Z,0.061020508079850946,3.409460063510289
full_21,73,fin+x+text,H+X+Z,0.05532086119135898,3.2262103219899787
full_21,74,fin,H,0.17031143557329725,7.688995949788235
full_21,74,fin+x,H+X,0.03659546927730779,3.542468871816139
full_21,74,fin+text,H+Z,0.06406600914350348,4.358725179930417
full_21,74,fin+x+text,H+X+Z,0.058777979220198305,4.100862789186559
full_21,75,fin,H,0.2339017205544725,7.766874087261275
full_21,75,fin+x,H+X,0.05614995970939967,3.8846747249160205
full_21,75,fin+text,H+Z,0.029879349789024328,2.9047257289423207
full_21,75,fin+x+text,H+X+Z,0.02355176143722919,2.630795677975368
full_21,76,fin,H,0.21787447741290225,6.001522154624107
full_21,76,fin+x,H+X,0.06897830105437168,3.2025680503528187
full_21,76,fin+text,H+Z,0.08259992169486956,3.361838439676741
full_21,76,fin+x+text,H+X+Z,0.06366575367366432,2.9212221299653325
full_21,77,fin,H,0.2617198837941636,7.240278408609446
full_21,77,fin+x,H+X,0.05107445649644182,3.0858798990225798
full_21,77,fin+text,H+Z,0.11011921696897507,4.0740236070200995
full_21,77,fin+x+text,H+X+Z,0.10578861463681631,4.090938965199321
full_21,78,fin,H,0.13971430390414485,5.505525125782139
full_21,78,fin+x,H+X,0.05064804001630005,3.1025421765787335
full_21,78,fin+text,H+Z,0.1286760635031874,4.681178059406719
full_21,78,fin+x+text,H+X+Z,0.11846351585754458,4.2577190810205
full_21,79,fin,H,0.16238214263600956,5.239023375871264
full_21,79,fin+x,H+X,0.06513693460854597,3.364222699588126
full_21,79,fin+text,H+Z,0.04869995298034969,3.0440244397924165
full_21,79,fin+x+text,H+X+Z,0.023389243771307557,2.027151780744409
full_21,80,fin,H,0.10153738999820035,5.696637584304669
full_21,80,fin+x,H+X,0.05671038012669754,3.763361686409307
full_21,80,fin+text,H+Z,0.11002628045583811,4.449249080461693
full_21,80,fin+x+text,H+X+Z,0.10616113094197989,4.3504708083317345
full_21,81,fin,H,0.24683794268165038,8.504414586231817
full_21,81,fin+x,H+X,0.04544710417049326,3.654742459866435
full_21,81,fin+text,H+Z,0.046508142716080246,3.9355167019460837
full_21,81,fin+x+text,H+X+Z,0.03627459736875085,3.505253391375099
full_21,82,fin,H,0.24158120370763914,6.737659939951098
full_21,82,fin+x,H+X,0.1324715667154726,5.01251929471058
full_21,82,fin+text,H+Z,0.1883094699005895,5.675353406696355
full_21,82,fin+x+text,H+X+Z,0.13994634321523156,4.239205096828501
full_21,83,fin,H,0.3850612467112248,7.140763240918635
full_21,83,fin+x,H+X,0.08429706530236193,3.5465096168844155
full_21,83,fin+text,H+Z,0.18373497310328574,4.735960356670003
full_21,83,fin+x+text,H+X+Z,0.17289642369210634,4.493307394417995
full_21,84,fin,H,0.1555484731517347,5.67587455451112
