sample,bootstrap_id,model,label,fvu,mae
full_21,66,TOOL,With tool use,0.0854388536681199,4.77144136673127
full_21,67,BASE,Without tool use,0.04929957352076533,2.838513708964987
full_21,67,TOOL,With tool use,0.04780285832066864,2.5691414485704755
full_21,68,BASE,Without tool use,0.05009361974301915,3.3203984090845156
full_21,68,TOOL,With tool use,0.05203345550168682,3.3252423526582313
full_21,69,BASE,Without tool use,0.09154479998849001,3.484617548531689
full_21,69,TOOL,With tool use,0.09423437201870394,3.529932451858495
full_21,70,BASE,Without tool use,0.05864787224100095,3.1420217182367467
full_21,70,TOOL,With tool use,0.05776285594059831,3.173654140102521
full_21,71,BASE,Without tool use,0.11987600611986743,4.024788528182953
full_21,71,TOOL,With tool use,0.11767500863685335,4.0590737387171565
full_21,72,BASE,Without tool use,0.1276099124353434,4.801472978604359
full_21,72,TOOL,With tool use,0.12372209652768644,4.733745462044066
full_21,73,BASE,Without tool use,0.05137165475263169,3.0910014411861684
full_21,73,TOOL,With tool use,0.05532086119135902,3.2262103219899783
full_21,74,BASE,Without tool use,0.05843650109046725,4.085698834731051
full_21,74,TOOL,With tool use,0.058777979220198305,4.100862789186561
full_21,75,BASE,Without tool use,0.020847507744099176,2.622214145545922
full_21,75,TOOL,With tool use,0.023551761437229164,2.6307956779753656
full_21,76,BASE,Without tool use,0.0705900553756728,3.045957799050882
full_21,76,TOOL,With tool use,0.06366575367366423,2.921222129965329
full_21,77,BASE,Without tool use,0.10783959534159535,4.108244248836027
full_21,77,TOOL,With tool use,0.10578861463681632,4.090938965199319
full_21,78,BASE,Without tool use,0.12317073099011279,4.415290576858304
full_21,78,TOOL,With tool use,0.11846351585754454,4.2577190810204995
full_21,79,BASE,Without tool use,0.025914171405090888,2.21032417473614
full_21,79,TOOL,With tool use,0.023389243771307525,2.0271517807444064
full_21,80,BASE,Without tool use,0.10412936945694715,4.333390905257812
full_21,80,TOOL,With tool use,0.10616113094197992,4.350470808331734
full_21,81,BASE,Without tool use,0.03520897627414666,3.5082525169982475
full_21,81,TOOL,With tool use,0.03627459736875086,3.505253391375099
full_21,82,BASE,Without tool use,0.14827983059429772,4.377714694036965
full_21,82,TOOL,With tool use,0.1399463432152315,4.239205096828499
full_21,83,BASE,Without tool use,0.1730845603183698,4.402686935391262
full_21,83,TOOL,With tool use,0.1728964236921064,4.493307394417993
full_21,84,BASE,Without tool use,0.08137249056541632,3.4649414145901667
full_21,84,TOOL,With tool use,0.07712518856400903,3.24975573425797
full_21,85,BASE,Without tool use,0.24142304512826368,4.492207801917635
full_21,85,TOOL,With tool use,0.22611794988111109,4.2484705022620295
full_21,86,BASE,Without tool use,0.1288346124773754,4.255912371635528
full_21,86,TOOL,With tool use,0.11894721675147557,3.9637378741912825
full_21,87,BASE,Without tool use,0.12245295229114316,3.457495340076312
full_21,87,TOOL,With tool use,0.1271796776141844,3.5334738936971375
full_21,88,BASE,Without tool use,0.18306879478508753,4.830895101430533
full_21,88,TOOL,With tool use,0.17745595143916323,4.770162429762881
full_21,89,BASE,Without tool use,0.05593919224744097,3.1645503052019794
full_21,89,TOOL,With tool use,0.047400944371978726,2.7548184508025653
full_21,90,BASE,Without tool use,0.10829248649739756,3.888840816788872
full_21,90,TOOL,With tool use,0.10342278941348496,3.731331541802522
full_21,91,BASE,Without tool use,0.12519543708839087,4.340204437149757
full_21,91,TOOL,With tool use,0.12073075942828392,4.195717162413481
full_21,92,BASE,Without tool use,0.15994057933738992,6.032675001366726
full_21,92,TOOL,With tool use,0.15913204786111054,6.031956920458989
full_21,93,BASE,Without tool use,0.08475634667512232,3.6059815501049957
full_21,93,TOOL,With tool use,0.08405754338841502,3.617213970047767
full_21,94,BASE,Without tool use,0.032455050357009275,2.8141821830656495
full_21,94,TOOL,With tool use,0.03125667766728025,2.655755659321661
full_21,95,BASE,Without tool use,0.07950060556295349,3.733716933372064
full_21,95,TOOL,With tool use,0.07818267902215208,3.6715159308457417
full_21,96,BASE,Without tool use,0.050737694376205726,2.812057194173693
full_21,96,TOOL,With tool use,0.057505871169811845,3.123621733606592
full_21,97,BASE,Without tool use,0.2723059507540137,3.620843511967903
full_21,97,TOOL,With tool use,0.24582179750634173,3.4602733019730167
full_21,98,BASE,Without tool use,0.11803940123770683,4.471401632894035
full_21,98,TOOL,With tool use,0.11649532319578247,4.494893352380129
full_21,99,BASE,Without tool use,0.12225899183128076,4.141552487604146
full_21,99,TOOL,With tool use,0.1306443655337802,4.397067654694639
full_21,100,BASE,Without tool use,0.021032386270899685,2.673783731335356
full_21,100,TOOL,With tool use,0.02248296208286563,2.646764557019404
full_21,101,BASE,Without tool use,0.11413074928434444,3.7934193763888495
full_21,101,TOOL,With tool use,0.11745357606037042,3.8720140777787795
full_21,102,BASE,Without tool use,0.10466634726126865,4.86256863470144
full_21,102,TOOL,With tool use,0.10242335244118352,4.824692356677543
full_21,103,BASE,Without tool use,0.24495684237862822,4.403101609865112
full_21,103,TOOL,With tool use,0.23687195773528408,4.435072416779297
full_21,104,BASE,Without tool use,0.07339656350055236,3.0156114901351416
full_21,104,TOOL,With tool use,0.06971191897980004,3.0035975390841387
full_21,105,BASE,Without tool use,0.048703046405526536,3.2898227066932937
full_21,105,TOOL,With tool use,0.048933799127876036,3.1341044624696233
full_21,106,BASE,Without tool use,0.11289503916109594,2.9311771300518377
full_21,106,TOOL,With tool use,0.11903127685628755,3.0863757589186367
full_21,107,BASE,Without tool use,0.10304698432971568,4.012939364840064
full_21,107,TOOL,With tool use,0.0961673769313305,3.823080302045495
full_21,108,BASE,Without tool use,0.06689515727636444,3.485891073187323
full_21,108,TOOL,With tool use,0.06339931566152332,3.2972320501874965
full_21,109,BASE,Without tool use,0.07478715278955672,3.1053822657694186
full_21,109,TOOL,With tool use,0.07655827273065631,3.0773283700080194
full_21,110,BASE,Without tool use,0.059886605842459965,4.402992681361551
full_21,110,TOOL,With tool use,0.06277447830055337,4.696145515589938
full_21,111,BASE,Without tool use,0.12180621209329916,3.2318215482835013
full_21,111,TOOL,With tool use,0.1203598962722238,3.1559175178559813
full_21,112,BASE,Without tool use,0.4939271003254119,3.956613839430802
full_21,112,TOOL,With tool use,0.4328257973748764,3.744494857589137
full_21,113,BASE,Without tool use,0.0680637954805555,3.6393603603145412
full_21,113,TOOL,With tool use,0.06667560675206834,3.503303328617618
full_21,114,BASE,Without tool use,0.10330478657606099,3.2919055393029635
full_21,114,TOOL,With tool use,0.10171864057344246,3.3080802235209332
full_21,115,BASE,Without tool use,0.07003647254716805,3.593040792409698
full_21,115,TOOL,With tool use,0.06340649131581373,3.4117524642428707
full_21,116,BASE,Without tool use,0.12040552123986603,4.4172515685687905
full_21,116,TOOL,With tool use,0.12385917864627534,4.567146381981542
full_21,117,BASE,Without tool use,0.12179832672708915,4.226478550247935
full_21,117,TOOL,With tool use,0.12051292272649376,4.385044760024939
full_21,118,BASE,Without tool use,0.049643394174959415,3.1776137571392518
full_21,118,TOOL,With tool use,0.050890494778357484,3.1547822400663867
full_21,119,BASE,Without tool use,0.09454765184728631,3.7396249257878313
full_21,119,TOOL,With tool use,0.09619269473182225,3.8341764556884357
full_21,120,BASE,Without tool use,0.07086328168973087,3.178376121115508
full_21,120,TOOL,With tool use,0.06086273046926509,2.8584315127357787
full_21,121,BASE,Without tool use,0.10887948558298562,3.7060509805059505
full_21,121,TOOL,With tool use,0.09884496139224562,3.5789301158656763
full_21,122,BASE,Without tool use,0.11218745854619346,4.054055919979988
full_21,122,TOOL,With tool use,0.10567858133957402,3.901929392005695
full_21,123,BASE,Without tool use,0.134054992296809,4.567130498318699
full_21,123,TOOL,With tool use,0.13826118251034786,4.794831332254909
full_21,124,BASE,Without tool use,0.11170715725305716,3.9358021661422855
full_21,124,TOOL,With tool use,0.1103055220290141,3.988120537470384
full_21,125,BASE,Without tool use,0.0627642273624079,3.9487323971713995
full_21,125,TOOL,With tool use,0.05799213859819982,3.6589781133857686
full_21,126,BASE,Without tool use,0.11359411030783903,4.22541228719692
full_21,126,TOOL,With tool use,0.11159985436146,4.18930912136109
full_21,127,BASE,Without tool use,0.05741001689363045,3.136943472357945
full_21,127,TOOL,With tool use,0.055832970728906695,3.0970694201394164
full_21,128,BASE,Without tool use,0.1931918887698145,5.295363736238336
full_21,128,TOOL,With tool use,0.19636418175168718,5.699694829764942
full_21,129,BASE,Without tool use,0.10775109918967267,4.691600412764829
full_21,129,TOOL,With tool use,0.103115386615726,4.634943846423453
full_21,130,BASE,Without tool use,0.021444939108688717,2.4969201636036567
full_21,130,TOOL,With tool use,0.0232611485345613,2.4681105745572425
full_21,131,BASE,Without tool use,0.10599519506444155,3.76598317519726
full_21,131,TOOL,With tool use,0.11231861817686475,3.9582732578598083
full_21,132,BASE,Without tool use,0.07804697517168964,4.185092435890332
full_21,132,TOOL,With tool use,0.07005689971104673,3.965116151092132
full_21,133,BASE,Without tool use,0.06590327401494006,3.585430351166879
full_21,133,TOOL,With tool use,0.05682443665148924,3.2256417936459254
full_21,134,BASE,Without tool use,0.013736220145236957,2.496017172404068
full_21,134,TOOL,With tool use,0.01580775315631785,2.594452604161809
full_21,135,BASE,Without tool use,0.0839485438073469,2.6410702231241348
full_21,135,TOOL,With tool use,0.08527524364630593,2.6578867128667722
full_21,136,BASE,Without tool use,0.06540162963594431,3.982473720302017
full_21,136,TOOL,With tool use,0.06940789586751442,4.146966688962858
full_21,137,BASE,Without tool use,0.09526525668280093,3.707687780295164
full_21,137,TOOL,With tool use,0.08203791012048363,3.3801951920712336
full_21,138,BASE,Without tool use,0.17251556249003247,4.897362715055966
full_21,138,TOOL,With tool use,0.1628460287679288,4.854724590555112
full_21,139,BASE,Without tool use,0.07665374232999263,2.356598310140954
full_21,139,TOOL,With tool use,0.07070076256550574,2.2466225860896034
full_21,140,BASE,Without tool use,0.05212000620263441,3.490960631994769
full_21,140,TOOL,With tool use,0.04993249394059904,3.3781176850424486
full_21,141,BASE,Without tool use,0.4464084092519443,5.225875782342723
full_21,141,TOOL,With tool use,0.3909244174920115,4.941560618328265
full_21,142,BASE,Without tool use,0.19027301788281029,5.423714888790247
full_21,142,TOOL,With tool use,0.19297388790598952,5.524619454691381
full_21,143,BASE,Without tool use,0.0976147537447564,2.998995788129428
full_21,143,TOOL,With tool use,0.08320753980668623,2.699856653574951
full_21,144,BASE,Without tool use,0.08236734276851523,3.6087680076497755
full_21,144,TOOL,With tool use,0.07465739379157757,3.4636333264612107
full_21,145,BASE,Without tool use,0.09034066790795567,3.9325484048668495
full_21,145,TOOL,With tool use,0.08550553628828017,3.8447277541245923
full_21,146,BASE,Without tool use,0.12389966182378523,3.4897312840651655
full_21,146,TOOL,With tool use,0.11924505919799627,3.472384125574746
full_21,147,BASE,Without tool use,0.06246822219652008,3.633341069094483
full_21,147,TOOL,With tool use,0.0638812757497385,3.636434720843642
full_21,148,BASE,Without tool use,0.1579140167575619,3.854867497022891
full_21,148,TOOL,With tool use,0.15107018027181865,3.740661487008979
full_21,149,BASE,Without tool use,0.03145622116930217,2.8490205531554533
full_21,149,TOOL,With tool use,0.030498816063214224,2.5885267352808876
full_21,150,BASE,Without tool use,0.31162154023681005,4.33056098084726
full_21,150,TOOL,With tool use,0.30273401561771424,4.396198661846426
full_21,151,BASE,Without tool use,0.1827404175384122,4.579221033339169
full_21,151,TOOL,With tool use,0.18140660947729753,4.561496391516463
full_21,152,BASE,Without tool use,0.09919884509211122,3.6607125520052897
full_21,152,TOOL,With tool use,0.10168652997183585,3.692571828416346
full_21,153,BASE,Without tool use,0.016964664426055424,2.1397254403871924
full_21,153,TOOL,With tool use,0.017497434559152182,2.1187250742606425
full_21,154,BASE,Without tool use,0.058346825618353006,3.561018958698958
full_21,154,TOOL,With tool use,0.05937221480424397,3.690733355402638
full_21,155,BASE,Without tool use,0.03980772904009559,3.147076560651236
full_21,155,TOOL,With tool use,0.03644545743242772,2.954616474973518
full_21,156,BASE,Without tool use,0.06285975421069281,4.43847789571476
full_21,156,TOOL,With tool use,0.06599557516421983,4.7749345658056574
full_21,157,BASE,Without tool use,0.2536551200630801,5.059584956152137
full_21,157,TOOL,With tool use,0.234946780899783,4.881200421358804
full_21,158,BASE,Without tool use,0.018426892064892834,2.200258571722342
full_21,158,TOOL,With tool use,0.015329375692130016,1.904722896933941
full_21,159,BASE,Without tool use,0.08786304543959265,3.9856668708351797
full_21,159,TOOL,With tool use,0.08913996342692487,4.053619854662867
full_21,160,BASE,Without tool use,0.16977842435404533,3.890525600737277
full_21,160,TOOL,With tool use,0.16228721467543059,3.7772397301183895
full_21,161,BASE,Without tool use,0.12498117073210313,4.1286154591739175
full_21,161,TOOL,With tool use,0.1290601633012907,4.312677632819991
full_21,162,BASE,Without tool use,0.16354589537194528,3.9776207568311426
full_21,162,TOOL,With tool use,0.162581315864434,4.0281491472029245
full_21,163,BASE,Without tool use,0.12873710520792767,4.233159347675413
full_21,163,TOOL,With tool use,0.11487204968932826,4.091618670461651
full_21,164,BASE,Without tool use,0.06580920286310257,3.740975269485999
full_21,164,TOOL,With tool use,0.06510912717729303,3.71134011592188
full_21,165,BASE,Without tool use,0.08432903489636989,3.0907093303268427
full_21,165,TOOL,With tool use,0.08618832007552535,3.129160539258621
full_21,166,BASE,Without tool use,0.1485123864312144,4.155272834066431
full_21,166,TOOL,With tool use,0.14261911095898816,4.104252989634426
full_21,167,BASE,Without tool use,0.1408246603662144,3.80516391337792
full_21,167,TOOL,With tool use,0.1420213002943667,3.716970324575943
