sample,bootstrap_id,method,label,fvu,mae
full_21,700,ols,OLS,25.783676146824355,80.99055342351706
full_21,700,gbt,GBT,7.850576964588033,46.171109138131385
full_21,700,ensembled_llm,Ensembled LLM,0.07014196193147357,3.63947984349985
full_21,700,our_method,Our Method,0.047320931527550965,2.6230604835317273
full_21,701,historical_average,Historical Avg.,2.857555256683296,17.5120245206039
full_21,701,ols,OLS,33.14991558973358,78.14778895654995
full_21,701,gbt,GBT,9.429904345260228,43.125324703655714
full_21,701,ensembled_llm,Ensembled LLM,0.12127544609471393,4.091895767852535
full_21,701,our_method,Our Method,0.10206196352413294,3.2876968138831355
full_21,702,historical_average,Historical Avg.,1.2157097063880025,14.789999950125926
full_21,702,ols,OLS,16.59392377617045,72.54866086707118
full_21,702,gbt,GBT,5.198232381918146,37.76283989162843
full_21,702,ensembled_llm,Ensembled LLM,0.04672128350977023,3.3253533360025607
full_21,702,our_method,Our Method,0.10270170824490077,3.973317181919658
full_21,703,historical_average,Historical Avg.,2.434383637238025,18.364488774013395
full_21,703,ols,OLS,23.51838369805967,80.42592881179534
full_21,703,gbt,GBT,6.623016910203079,42.33056501167637
full_21,703,ensembled_llm,Ensembled LLM,0.07407483586018476,3.9175911622775765
full_21,703,our_method,Our Method,0.12558996728732527,4.650536705475011
full_21,704,historical_average,Historical Avg.,1.207051375888952,12.780090759237957
full_21,704,ols,OLS,28.92511499624229,81.68092992625832
full_21,704,gbt,GBT,7.2672993157663095,42.095032157422935
full_21,704,ensembled_llm,Ensembled LLM,0.09177680169568009,3.826850385205873
full_21,704,our_method,Our Method,0.14872986921450246,3.9985844503047825
full_21,705,historical_average,Historical Avg.,1.7104273769291254,18.260976394610797
full_21,705,ols,OLS,34.06326037108645,107.79398324679542
full_21,705,gbt,GBT,6.698203829472041,45.69410630136845
full_21,705,ensembled_llm,Ensembled LLM,0.05240479394846354,3.7069864808537782
full_21,705,our_method,Our Method,0.0801937301114949,3.957063469874939
full_21,706,historical_average,Historical Avg.,0.6551286719595635,9.680846062427012
full_21,706,ols,OLS,29.483007838576086,91.51881688617286
full_21,706,gbt,GBT,7.21992227459484,45.085019685696125
full_21,706,ensembled_llm,Ensembled LLM,0.055099641972100884,3.373971512217255
full_21,706,our_method,Our Method,0.1068888919140787,4.200447912508376
full_21,707,historical_average,Historical Avg.,2.0003788192890863,25.36807472367026
full_21,707,ols,OLS,16.222104695661073,89.84099665559948
full_21,707,gbt,GBT,5.7393711596421975,54.87298360382616
full_21,707,ensembled_llm,Ensembled LLM,0.055322187903699735,4.923137084964651
full_21,707,our_method,Our Method,0.03286850307718712,3.4180253328820416
full_21,708,historical_average,Historical Avg.,2.3247844089637373,19.983009402280207
full_21,708,ols,OLS,22.55206236252206,88.79791052142248
full_21,708,gbt,GBT,5.681484514628913,45.00057431568494
full_21,708,ensembled_llm,Ensembled LLM,0.046615713512654956,3.547844355327478
full_21,708,our_method,Our Method,0.09834932713735525,4.216695653754578
full_21,709,historical_average,Historical Avg.,2.204303871520627,19.310555281537205
full_21,709,ols,OLS,31.736008584632323,94.27398095648898
full_21,709,gbt,GBT,6.925485740833002,41.78404317534835
full_21,709,ensembled_llm,Ensembled LLM,0.05637527563299825,3.4857862319403288
full_21,709,our_method,Our Method,0.07959162624180743,3.5075781504273245
full_21,710,historical_average,Historical Avg.,2.612676291467631,19.82472771284675
full_21,710,ols,OLS,31.155090220048894,99.43999813724477
full_21,710,gbt,GBT,7.10044187292395,45.22974240991393
full_21,710,ensembled_llm,Ensembled LLM,0.08234947119664957,4.420925092215594
full_21,710,our_method,Our Method,0.10469850752126106,4.236725196601787
full_21,711,historical_average,Historical Avg.,1.7670435720009756,15.589913297866804
full_21,711,ols,OLS,26.221518407812823,77.7576759367741
full_21,711,gbt,GBT,5.626888340460372,34.22497049689582
full_21,711,ensembled_llm,Ensembled LLM,0.046481598952385704,3.147845453071654
full_21,711,our_method,Our Method,0.13513283575532445,4.189147021003899
full_21,712,historical_average,Historical Avg.,1.3113263606333383,15.338972757310271
full_21,712,ols,OLS,25.006152299502258,86.34899888683724
full_21,712,gbt,GBT,6.392131363376524,40.85755641628883
full_21,712,ensembled_llm,Ensembled LLM,0.03212171567402024,3.0000539262817028
full_21,712,our_method,Our Method,0.09814261114066793,4.0105069687805495
full_21,713,historical_average,Historical Avg.,1.7289641619293337,17.159784235387956
full_21,713,ols,OLS,17.369142318767082,75.1214228901427
full_21,713,gbt,GBT,6.781946924734824,49.19008002909375
full_21,713,ensembled_llm,Ensembled LLM,0.05666497837893965,3.9819887774327425
full_21,713,our_method,Our Method,0.06880083810905409,3.6320629697355735
full_21,714,historical_average,Historical Avg.,1.082780598751078,14.814587442441042
full_21,714,ols,OLS,22.87408289731776,89.18675968028512
full_21,714,gbt,GBT,5.611805776601669,40.92909166158261
full_21,714,ensembled_llm,Ensembled LLM,0.032763479873696766,2.8015878212020913
full_21,714,our_method,Our Method,0.05112863786546934,2.7633774137828793
full_21,715,historical_average,Historical Avg.,3.108949894570537,23.461379563222344
full_21,715,ols,OLS,19.44002190948556,72.27937968727727
full_21,715,gbt,GBT,7.705370682832664,48.05223678777016
full_21,715,ensembled_llm,Ensembled LLM,0.0742677171837413,4.07374664736382
full_21,715,our_method,Our Method,0.019173590458081223,1.9540620941845837
full_21,716,historical_average,Historical Avg.,2.4458775621722704,22.383019565257644
full_21,716,ols,OLS,22.483418074384506,90.73422955366956
full_21,716,gbt,GBT,6.195990428170605,45.40300380943915
full_21,716,ensembled_llm,Ensembled LLM,0.07650855759642422,4.715057938414677
full_21,716,our_method,Our Method,0.09521495569384071,4.467308321537269
full_21,717,historical_average,Historical Avg.,2.776753734003529,19.332577890876046
full_21,717,ols,OLS,31.263327632470823,73.72202774945647
full_21,717,gbt,GBT,8.789494685128057,40.66413826683479
full_21,717,ensembled_llm,Ensembled LLM,0.06844117778937854,3.467821222389981
full_21,717,our_method,Our Method,0.10914168631119764,3.5247403338938352
full_21,718,historical_average,Historical Avg.,1.0022148716297619,11.898127478845325
full_21,718,ols,OLS,19.84841548269027,68.25773716818634
full_21,718,gbt,GBT,7.151253324847892,43.71088445801114
full_21,718,ensembled_llm,Ensembled LLM,0.09750537027029951,4.345782104641097
full_21,718,our_method,Our Method,0.13084753275921385,4.215221531459629
full_21,719,historical_average,Historical Avg.,2.616913595474396,19.901377180466508
full_21,719,ols,OLS,26.334659772545386,87.6033954455753
full_21,719,gbt,GBT,6.290338599813147,38.238444464800004
full_21,719,ensembled_llm,Ensembled LLM,0.05021501667989819,3.2919081398715098
full_21,719,our_method,Our Method,0.12355164895118485,4.343340519351236
full_21,720,historical_average,Historical Avg.,2.1513509046926864,18.59211935281323
full_21,720,ols,OLS,20.69161561376316,76.22414512503339
full_21,720,gbt,GBT,6.848005993027859,44.80207748771398
full_21,720,ensembled_llm,Ensembled LLM,0.09054776866220825,4.420013074703526
full_21,720,our_method,Our Method,0.10461308003538074,3.946904414458301
full_21,721,historical_average,Historical Avg.,2.43278693340716,24.540412902921084
full_21,721,ols,OLS,25.837987009290583,97.0357851234649
full_21,721,gbt,GBT,6.626731509192097,44.56619426979875
full_21,721,ensembled_llm,Ensembled LLM,0.02793807913812093,3.0600776822921376
full_21,721,our_method,Our Method,0.08327675207958371,4.126960514336715
full_21,722,historical_average,Historical Avg.,2.0908934666121297,16.53617190973442
full_21,722,ols,OLS,23.934208298403863,80.21562070802757
full_21,722,gbt,GBT,6.608812908884404,43.56148393576513
full_21,722,ensembled_llm,Ensembled LLM,0.0667084764514707,3.8368093312500773
full_21,722,our_method,Our Method,0.15134768220270714,4.947983464470446
full_21,723,historical_average,Historical Avg.,2.1135853241174036,15.561685999939161
full_21,723,ols,OLS,20.814419891213067,69.38789798456966
full_21,723,gbt,GBT,8.123220052148486,46.05938680736987
full_21,723,ensembled_llm,Ensembled LLM,0.08976306185205797,3.8471009878388998
full_21,723,our_method,Our Method,0.05310459092484294,2.6427345588398747
full_21,724,historical_average,Historical Avg.,2.24641644160012,23.272477525566497
full_21,724,ols,OLS,16.800263342035834,84.9168096136156
full_21,724,gbt,GBT,6.849379754867676,53.64236609499288
full_21,724,ensembled_llm,Ensembled LLM,0.07561716055023002,4.702863460434689
full_21,724,our_method,Our Method,0.02766942926793274,2.2863792808574033
full_21,725,historical_average,Historical Avg.,1.3947611416235013,13.942972946936454
full_21,725,ols,OLS,19.402020072205776,80.60123849655571
full_21,725,gbt,GBT,5.765622793326141,44.163766845881696
full_21,725,ensembled_llm,Ensembled LLM,0.08769643462330266,4.895084984719413
full_21,725,our_method,Our Method,0.15724160994542044,5.706548156343578
full_21,726,historical_average,Historical Avg.,1.0474304739482327,15.63892458035319
full_21,726,ols,OLS,21.875168546404645,91.81779107763847
full_21,726,gbt,GBT,6.09046366323713,45.765368008386204
full_21,726,ensembled_llm,Ensembled LLM,0.016671756936281833,2.2598049922030574
full_21,726,our_method,Our Method,0.019625989789399237,2.418605093894664
full_21,727,historical_average,Historical Avg.,1.6634146770255145,23.849664690690698
full_21,727,ols,OLS,13.78179701726376,85.56171648839923
full_21,727,gbt,GBT,4.597697559605028,45.05681043184319
full_21,727,ensembled_llm,Ensembled LLM,0.03435166175856367,3.7563634069207352
full_21,727,our_method,Our Method,0.055070018153155174,3.679007283833512
full_21,728,historical_average,Historical Avg.,1.8868294141289175,20.40726248841165
full_21,728,ols,OLS,13.67571649611516,74.19284858440778
full_21,728,gbt,GBT,6.098980116737238,49.3444793741477
full_21,728,ensembled_llm,Ensembled LLM,0.07843003008032598,4.976222218898921
full_21,728,our_method,Our Method,0.07952265569725288,4.017907023202186
full_21,729,historical_average,Historical Avg.,1.0843243015843964,15.12964320443873
full_21,729,ols,OLS,23.44617884848125,91.04250016629679
full_21,729,gbt,GBT,6.172617352714424,44.54590103175774
full_21,729,ensembled_llm,Ensembled LLM,0.026330139937161275,2.6679610445761415
full_21,729,our_method,Our Method,0.08005268240824824,3.770417835894001
full_21,730,historical_average,Historical Avg.,1.4091511463425486,18.46927390941914
full_21,730,ols,OLS,22.43330614362926,98.76933491285746
full_21,730,gbt,GBT,5.927155342666089,45.772547519542655
full_21,730,ensembled_llm,Ensembled LLM,0.040989282664592105,3.648497979036014
full_21,730,our_method,Our Method,0.06226750836224251,3.8624003827090108
full_21,731,historical_average,Historical Avg.,1.6486163882494256,17.30474218327721
full_21,731,ols,OLS,22.214917223441166,82.49721771509785
full_21,731,gbt,GBT,6.995719954028885,47.94433343897158
full_21,731,ensembled_llm,Ensembled LLM,0.05043988725679648,3.5721407397054854
full_21,731,our_method,Our Method,0.05087010127664205,3.431531244578874
full_21,732,historical_average,Historical Avg.,1.5474274568707915,15.809017674743163
full_21,732,ols,OLS,26.563362980240925,94.83118756805528
full_21,732,gbt,GBT,6.644751562073713,48.264540205499834
full_21,732,ensembled_llm,Ensembled LLM,0.13143490459338997,5.993167384731554
